keV,Sample,K,Ca,Ti,Cr,Mn,Fe,Co,Ni,Cu,Zn
1.012,6.157,0,0,0,0,0,0,0,0,0,0
1.027,6.604,0,0,0,0,0,0,0,0,0,0
1.042,5.561,0,0,0,0,0,0,0,0,0,0
1.057,5.909,0,0,0,0,0,0,0,0,0,0
1.072,6.356,0,0,0,0,0,0,0,0,0,0
1.087,6.455,0,0,0,0,0,0,0,0,0,0
1.102,6.753,0,0,0,0,0,0,0,0,0,0
1.117,6.653,0,0,0,0,0,0,0,0,0,0
1.132,6.504,0,0,0,0,0,0,0,0,0,0
1.147,6.356,0,0,0,0,0,0,0,0,0,0
1.162,5.809,0,0,0,0,0,0,0,0,0,0
1.177,7.001,0,0,0,0,0,0,0,0,0,0
1.192,6.207,0,0,0,0,0,0,0,0,0,0
1.207,5.958,0,0,0,0,0,0,0,0,0,0
1.222,6.356,0,0,0,0,0,0,0,0,0,0
1.237,5.611,0,0,0,0,0,0,0,0,0,0
1.252,5.263,0,0,0,0,0,0,0,0,0,0
1.267,6.008,0,0,0,0,0,0,0,0,0,0
1.282,6.604,0,0,0,0,0,0,0,0,0,0
1.297,5.66,0,0,0,0,0,0,0,0,0,0
1.312,5.462,0,0,0,0,0,0,0,0,0,0
1.327,6.504,0,0,0,0,0,0,0,0,0,0
1.342,5.71,0,0,0,0,0,0,0,0,0,0
1.357,6.356,0,0,0,0,0,0,0,0,0,0
1.372,6.653,0,0,0,0,0,0,0,0,0,0
1.387,6.455,0,0,0,0,0,0,0,0,0,0
1.402,5.809,0,0,0,0,0,0,0,0,0,0
1.417,5.511,0,0,0,0,0,0,0,0,0,0
1.432,5.71,0,0,0,0,0,0,0,0,0,0
1.447,6.157,0,0,0,0,0,0,0,0,0,0
1.462,6.207,0,0,0,0,0,0,0,0,0,0
1.477,7.448,0,0,0,0,0,0,0,0,0,0
1.492,7.001,0,0,0,0,0,0,0,0,0,0
1.507,6.256,0,0,0,0,0,0,0,0,0,0
1.522,6.008,0,0,0,0,0,0,0,0,0,0
1.537,6.058,0,0,0,0,0,0,0,0,0,0
1.552,5.015,0,0,0,0,0,0,0,0,0,0
1.567,6.207,0,0,0,0,0,0,0,0,0,0
1.582,5.313,0,0,0,0,0,0,0,0,0,0
1.597,5.76,0,0,0,0,0,0,0,0,0,0
1.612,6.107,0,0,0,0,0,0,0,0,0,0
1.627,4.816,0,0,0,0,0,0,0,0,0,0
1.642,5.015,0,0,0,0,0,0,0,0,0,0
1.657,5.66,0,0,0,0,0,0,0,0,0,0
1.672,6.107,0,0,0,0,0,0,0,0,0,0
1.686,5.561,0,0,0,0,0,0,0,0,0,0
1.701,6.157,0,0,0,0,0,0,0,0,0,0
1.716,6.058,0,0,0,0,0,0,0,0,0,0
1.731,5.71,0,0,0,0,0,0,0,0,0,0
1.746,5.611,0,0,0,0,0,0,0,0,0,0
1.761,6.058,0,0,0,0,0,0,0,0,0,0
1.776,6.157,0,0,0,0,0,0,0,0,0,0
1.791,6.058,0,0.002,0,0,0,0,0,0,0,0
1.806,6.753,0,0.005,0,0,0,0,0,0,0,0
1.821,5.263,0,0.01,0,0,0,0,0,0,0,0
1.836,5.561,0,0.021,0,0,0,0,0,0,0,0
1.851,6.157,0,0.038,0,0,0,0,0,0,0,0
1.866,5.909,0,0.065,0,0,0,0,0,0,0,0
1.881,5.164,0,0.102,0,0,0,0,0,0,0,0
1.896,4.767,0,0.145,0,0,0,0,0,0,0,0
1.911,4.866,0,0.19,0,0,0,0,0,0,0,0
1.926,5.362,0,0.228,0,0,0,0,0,0,0,0
1.941,5.66,0,0.251,0,0,0,0,0,0,0,0
1.956,5.561,0,0.253,0,0,0,0,0,0,0,0
1.971,5.412,0,0.234,0,0,0,0,0,0,0,0
1.986,6.802,0,0.198,0,0,0,0,0,0,0,0
2.001,5.809,0,0.153,0,0,0,0,0,0,0,0
2.016,5.561,0,0.109,0,0,0,0,0,0,0,0
2.031,5.362,0,0.071,0,0,0,0,0,0,0,0
2.046,4.965,0,0.042,0,0,0,0,0,0,0,0
2.061,5.065,0,0.023,0,0,0,0,0,0,0,0
2.076,5.66,0,0.012,0,0,0,0,0,0,0,0
2.091,5.263,0,0.005,0,0,0,0,0,0,0,0
2.106,4.916,0,0.002,0,0,0,0,0,0,0,0
2.121,5.214,0,0.001,0,0,0,0,0,0,0,0
2.136,5.462,0,0.001,0,0,0,0,0,0,0,0
2.151,5.66,0,0.002,0,0,0,0,0,0,0,0
2.166,5.511,0,0.004,0,0,0,0,0,0,0,0
2.181,5.462,0,0.006,0,0,0,0,0,0,0,0
2.196,5.065,0,0.01,0,0,0,0,0,0,0,0
2.211,4.767,0,0.015,0,0,0,0,0,0,0,0
2.226,4.618,0,0.02,0,0,0,0,0,0,0,0
2.241,4.717,0,0.024,0,0,0,0,0,0,0,0
2.256,5.114,0,0.028,0,0,0,0,0,0,0,0
2.271,4.767,0,0.029,0,0,0,0,0,0,0,0
2.286,4.717,0,0.028,0,0,0,0,0,0,0,0
2.301,4.866,0,0.025,0,0,0,0,0,0,0,0
2.316,5.015,0,0.02,0,0,0,0,0,0,0,0
2.331,5.412,0,0.015,0,0,0,0,0,0,0,0
2.346,4.916,0,0.011,0,0,0,0,0,0,0,0
2.361,4.717,0,0.007,0,0,0,0,0,0,0,0
2.376,4.22,0,0.004,0,0,0,0,0,0,0,0
2.391,4.965,0,0.002,0,0,0,0,0,0,0,0
2.406,5.263,0,0.001,0,0,0,0,0,0,0,0
2.421,5.561,0,0,0,0,0,0,0,0,0,0
2.436,4.965,0,0,0,0,0,0,0,0,0,0
2.451,4.469,0,0,0,0,0,0,0,0,0,0
2.466,4.419,0,0,0,0,0,0,0,0,0,0
2.481,4.32,0,0,0,0,0,0,0,0,0,0
2.496,4.518,0,0,0,0,0,0,0,0,0,0
2.511,5.214,0,0,0,0,0,0,0,0,0,0
2.526,4.568,0,0,0,0,0,0,0,0,0,0
2.541,4.916,0,0,0,0,0,0,0,0,0,0
2.556,5.214,0,0,0,0,0,0,0,0,0,0
2.571,5.561,0,0,0.003,0,0,0,0,0,0,0
2.586,4.568,0,0,0.008,0,0,0,0,0,0,0
2.601,6.207,0,0,0.019,0,0,0,0,0,0,0
2.616,4.916,0,0,0.044,0,0,0,0,0,0,0
2.631,5.065,0,0,0.093,0,0,0,0,0,0,0
2.646,5.164,0,0,0.183,0,0,0,0,0,0,0
2.661,4.717,0,0,0.332,0,0,0,0,0,0,0
2.675,5.015,0,0,0.559,0,0,0,0,0,0,0
2.69,4.419,0,0,0.87,0,0,0,0,0,0,0
2.705,3.674,0,0,1.253,0,0,0,0,0,0,0
2.72,3.476,0,0,1.668,0,0,0,0,0,0,0
2.735,4.866,0,0,2.055,0,0,0,0,0,0,0
2.75,4.369,0,0,2.341,0,0,0,0,0,0,0
2.765,3.525,0,0,2.468,0,0,0,0,0,0,0
2.78,4.072,0,0,2.405,0,0,0,0,0,0,0
2.795,4.072,0,0,2.169,0,0,0,0,0,0,0
2.81,4.27,0,0,1.809,0,0,0,0,0,0,0
2.825,3.426,0,0,1.396,0,0,0,0,0,0,0
2.84,4.121,0,0,0.996,0,0,0,0,0,0,0
2.855,4.767,0,0,0.657,0,0,0,0,0,0,0
2.87,5.214,0,0,0.401,0,0,0,0,0,0,0
2.885,4.816,0,0,0.227,0,0,0,0,0,0,0
2.9,4.916,0,0.001,0.118,0,0,0,0,0,0,0
2.915,5.859,0,0.001,0.057,0,0,0,0,0,0,0
2.93,6.504,0,0.002,0.026,0,0,0,0,0,0,0
2.945,6.008,0,0.002,0.011,0,0,0,0,0,0,0
2.96,6.455,0,0.003,0.004,0,0,0,0,0,0,0
2.975,5.015,0,0.003,0.002,0,0,0,0,0,0,0
2.99,6.058,0,0.004,0,0,0,0,0,0,0,0
3.005,4.816,0,0.005,0.001,0,0,0,0,0,0,0
3.02,4.32,0,0.006,0.002,0,0,0,0,0,0,0
3.035,4.518,0,0.007,0.005,0,0,0,0,0,0,0
3.05,4.618,0,0.008,0.01,0,0,0,0,0,0,0
3.065,4.965,0,0.009,0.019,0,0,0,0,0,0,0
3.08,4.767,0,0.01,0.035,0,0,0,0,0,0,0
3.095,3.724,0,0.011,0.058,0,0,0,0,0,0,0
3.11,4.816,0,0.013,0.09,0,0,0,0,0,0,0
3.125,3.923,0.002,0.014,0.129,0,0,0,0,0,0,0
3.14,3.873,0.005,0.015,0.172,0,0,0,0,0,0,0
3.155,4.121,0.011,0.016,0.213,0,0,0,0,0,0,0
3.17,3.972,0.023,0.016,0.246,0,0,0,0,0,0,0
3.185,4.22,0.044,0.017,0.263,0,0,0,0,0,0,0
3.2,4.171,0.079,0.017,0.261,0,0,0,0,0,0,0
