File,Reading No,ID,AQ,Long,Latitude,Mn_K,Co_K,Ni_K,Zn_K,Mn,Co,Ni,Zn,xcoord,ycoord,density1,SoilType1
"20190627","2335",20190627-2335,"211964",144.042517299999986,-9.923640391999999,"0","0","0","0",Normal,Normal,Normal,Normal,833672.3095496,8901502.2281734,1,
"20190627","2334",20190627-2334,"211965",144.509184099999999,-14.173614030000000,"0","0","0","0",Normal,Normal,Normal,Normal,878883.213669258,8430229.06103827,2,"7"
"20190627","2337",20190627-2337,"389859",142.409202099999987,-10.890302050000001,"0","0","0","0",Normal,Normal,Normal,Normal,654017.811856086,8795791.98154127,2,"8"
"20190627","2336",20190627-2336,"410432",143.084197300000000,-12.748623950000001,"0","0","0","0",Normal,Normal,Normal,Normal,726283.853558622,8589754.22673692,3,"8"
"20190627","2151",20190627-2151,"771",145.425847800000014,-17.340263830000001,"0","0","0","0",Normal,Normal,Normal,Normal,970630.745880483,8077377.32515087,3,"8"
"20190627","2143",20190627-2143,"820",145.625845999999996,-17.523595870000001,"218","0","0","104",Normal,Normal,Normal,Normal,991442.443791512,8056538.00862293,3,"5"
"20190627","2144",20190627-2144,"212109",145.275847300000009,-16.523601039999999,"761","0","0","0",Normal,Normal,Normal,Normal,956627.00400001,8168292.96656387,3,"7"
"20190627","2135",20190627-2135,"212120",145.500847399999998,-17.498596310000000,"182","0","0","115",Normal,Normal,Normal,Normal,978205.614346627,8059630.46964735,3,"5"
"20190627","2142",20190627-2142,"212125",145.584179500000005,-17.415263090000000,"1288","0","0","77",Accumulator,Normal,Normal,Normal,987297.279130034,8068662.14428656,4,"5"
"20190627","2145",20190627-2145,"227382",145.758069699999993,-18.491925040000002,"3195","0","0","184",Accumulator,Normal,Normal,Normal,1002751.41462181,7948756.5520025,3,"3"
"20190627","2146",20190627-2146,"250686",145.259181000000012,-16.573600849999998,"142","0","0","0",Normal,Normal,Normal,Normal,954726.795803472,8162786.90305601,3,"7"
"20190627","2150",20190627-2150,"296401",145.584181000000001,-17.915261080000001,"1028","0","0","0",Accumulator,Normal,Normal,Normal,985947.951304524,8013200.51772264,3,"3"
"20190627","2147",20190627-2147,"325257",145.250845700000013,-15.748604660000000,"508","0","0","107",Normal,Normal,Normal,Normal,955727.949322729,8254277.7074593,3,"5"
"20190627","2149",20190627-2149,"429847",145.520077100000009,-17.682609849999999,"856","0","0","0",Normal,Normal,Normal,Normal,979764.586455167,8039172.01195746,3,"5"
"20190627","2134",20190627-2134,"432063",145.825842800000004,-17.206930000000000,"567","0","0","0",Normal,Normal,Normal,Normal,1013615.77443772,8091143.54326573,3,"5"
"20190627","2133",20190627-2133,"484827",145.225846100000012,-15.806937769999999,"272","0","0","0",Normal,Normal,Normal,Normal,952913.642826703,8247864.27127501,3,"5"
