"x","y","substitution"
-2.75,0,"regression on order statistics"
-2.75,0,"regression on order statistics"
-2.5,0,"regression on order statistics"
-2.5,0,"regression on order statistics"
-2.25,0,"regression on order statistics"
-2.25,0,"regression on order statistics"
-2,0,"regression on order statistics"
-2,0,"regression on order statistics"
-1.75,0,"regression on order statistics"
-1.75,0,"regression on order statistics"
-1.5,0,"regression on order statistics"
-1.5,0,"regression on order statistics"
-1.25,0,"regression on order statistics"
-1.25,0,"regression on order statistics"
-1,0,"regression on order statistics"
-1,0,"regression on order statistics"
-0.75,0,"regression on order statistics"
-0.75,0,"regression on order statistics"
-0.5,0,"regression on order statistics"
-0.5,0,"regression on order statistics"
-0.25,0,"regression on order statistics"
-0.25,0,"regression on order statistics"
0,0,"regression on order statistics"
0,17,"regression on order statistics"
0.25,17,"regression on order statistics"
0.25,59,"regression on order statistics"
0.5,59,"regression on order statistics"
0.5,42,"regression on order statistics"
0.75,42,"regression on order statistics"
0.75,39,"regression on order statistics"
1,39,"regression on order statistics"
1,80,"regression on order statistics"
1.25,80,"regression on order statistics"
1.25,80,"regression on order statistics"
1.5,80,"regression on order statistics"
1.5,73,"regression on order statistics"
1.75,73,"regression on order statistics"
1.75,109,"regression on order statistics"
2,109,"regression on order statistics"
2,119,"regression on order statistics"
2.25,119,"regression on order statistics"
2.25,119,"regression on order statistics"
2.5,119,"regression on order statistics"
2.5,127,"regression on order statistics"
2.75,127,"regression on order statistics"
2.75,100,"regression on order statistics"
3,100,"regression on order statistics"
3,78,"regression on order statistics"
3.25,78,"regression on order statistics"
3.25,85,"regression on order statistics"
3.5,85,"regression on order statistics"
3.5,58,"regression on order statistics"
3.75,58,"regression on order statistics"
3.75,41,"regression on order statistics"
4,41,"regression on order statistics"
4,40,"regression on order statistics"
4.25,40,"regression on order statistics"
4.25,24,"regression on order statistics"
4.5,24,"regression on order statistics"
4.5,20,"regression on order statistics"
4.75,20,"regression on order statistics"
4.75,14,"regression on order statistics"
5,14,"regression on order statistics"
5,13,"regression on order statistics"
5.25,13,"regression on order statistics"
5.25,6,"regression on order statistics"
5.5,6,"regression on order statistics"
5.5,10,"regression on order statistics"
5.75,10,"regression on order statistics"
5.75,16,"regression on order statistics"
6,16,"regression on order statistics"
6,10,"regression on order statistics"
6.25,10,"regression on order statistics"
6.25,17,"regression on order statistics"
6.5,17,"regression on order statistics"
6.5,6,"regression on order statistics"
6.75,6,"regression on order statistics"
6.75,16,"regression on order statistics"
7,16,"regression on order statistics"
7,12,"regression on order statistics"
7.25,12,"regression on order statistics"
7.25,34,"regression on order statistics"
7.5,34,"regression on order statistics"
7.5,36,"regression on order statistics"
7.75,36,"regression on order statistics"
7.75,25,"regression on order statistics"
8,25,"regression on order statistics"
8,35,"regression on order statistics"
8.25,35,"regression on order statistics"
8.25,33,"regression on order statistics"
8.5,33,"regression on order statistics"
8.5,31,"regression on order statistics"
8.75,31,"regression on order statistics"
8.75,26,"regression on order statistics"
9,26,"regression on order statistics"
9,25,"regression on order statistics"
9.25,25,"regression on order statistics"
9.25,15,"regression on order statistics"
9.5,15,"regression on order statistics"
9.5,12,"regression on order statistics"
9.75,12,"regression on order statistics"
9.75,5,"regression on order statistics"
10,5,"regression on order statistics"
10,3,"regression on order statistics"
10.25,3,"regression on order statistics"
10.25,0,"regression on order statistics"
-2.75,0,"constant"
-2.75,1,"constant"
-2.5,1,"constant"
-2.5,0,"constant"
-2.25,0,"constant"
-2.25,1,"constant"
-2,1,"constant"
-2,1,"constant"
-1.75,1,"constant"
-1.75,1,"constant"
-1.5,1,"constant"
-1.5,0,"constant"
-1.25,0,"constant"
-1.25,2,"constant"
-1,2,"constant"
-1,4,"constant"
-0.75,4,"constant"
-0.75,2,"constant"
-0.5,2,"constant"
-0.5,6,"constant"
-0.25,6,"constant"
-0.25,13,"constant"
0,13,"constant"
0,17,"constant"
0.25,17,"constant"
0.25,28,"constant"
0.5,28,"constant"
0.5,42,"constant"
0.75,42,"constant"
0.75,39,"constant"
1,39,"constant"
1,80,"constant"
1.25,80,"constant"
1.25,80,"constant"
1.5,80,"constant"
1.5,73,"constant"
1.75,73,"constant"
1.75,109,"constant"
2,109,"constant"
2,119,"constant"
2.25,119,"constant"
2.25,119,"constant"
2.5,119,"constant"
2.5,127,"constant"
2.75,127,"constant"
2.75,100,"constant"
3,100,"constant"
3,78,"constant"
3.25,78,"constant"
3.25,85,"constant"
3.5,85,"constant"
3.5,58,"constant"
3.75,58,"constant"
3.75,41,"constant"
4,41,"constant"
4,40,"constant"
4.25,40,"constant"
4.25,24,"constant"
4.5,24,"constant"
4.5,20,"constant"
4.75,20,"constant"
4.75,14,"constant"
5,14,"constant"
5,13,"constant"
5.25,13,"constant"
5.25,6,"constant"
5.5,6,"constant"
5.5,10,"constant"
5.75,10,"constant"
5.75,16,"constant"
6,16,"constant"
6,10,"constant"
6.25,10,"constant"
6.25,17,"constant"
6.5,17,"constant"
6.5,6,"constant"
6.75,6,"constant"
6.75,16,"constant"
7,16,"constant"
7,12,"constant"
7.25,12,"constant"
7.25,34,"constant"
7.5,34,"constant"
7.5,36,"constant"
7.75,36,"constant"
7.75,25,"constant"
8,25,"constant"
8,35,"constant"
8.25,35,"constant"
8.25,33,"constant"
8.5,33,"constant"
8.5,31,"constant"
8.75,31,"constant"
8.75,26,"constant"
9,26,"constant"
9,25,"constant"
9.25,25,"constant"
9.25,15,"constant"
9.5,15,"constant"
9.5,12,"constant"
9.75,12,"constant"
9.75,5,"constant"
10,5,"constant"
10,3,"constant"
10.25,3,"constant"
10.25,0,"constant"
