"x","y","substitution"
0,0,"regression on order statistics"
0,0,"regression on order statistics"
0.25,0,"regression on order statistics"
0.25,16,"regression on order statistics"
0.5,16,"regression on order statistics"
0.5,179,"regression on order statistics"
0.75,179,"regression on order statistics"
0.75,604,"regression on order statistics"
1,604,"regression on order statistics"
1,1176,"regression on order statistics"
1.25,1176,"regression on order statistics"
1.25,1697,"regression on order statistics"
1.5,1697,"regression on order statistics"
1.5,2057,"regression on order statistics"
1.75,2057,"regression on order statistics"
1.75,2229,"regression on order statistics"
2,2229,"regression on order statistics"
2,2247,"regression on order statistics"
2.25,2247,"regression on order statistics"
2.25,2152,"regression on order statistics"
2.5,2152,"regression on order statistics"
2.5,1989,"regression on order statistics"
2.75,1989,"regression on order statistics"
2.75,1791,"regression on order statistics"
3,1791,"regression on order statistics"
3,1584,"regression on order statistics"
3.25,1584,"regression on order statistics"
3.25,1380,"regression on order statistics"
3.5,1380,"regression on order statistics"
3.5,1191,"regression on order statistics"
3.75,1191,"regression on order statistics"
3.75,1020,"regression on order statistics"
4,1020,"regression on order statistics"
4,869,"regression on order statistics"
4.25,869,"regression on order statistics"
4.25,736,"regression on order statistics"
4.5,736,"regression on order statistics"
4.5,642,"regression on order statistics"
4.75,642,"regression on order statistics"
4.75,647,"regression on order statistics"
5,647,"regression on order statistics"
5,567,"regression on order statistics"
5.25,567,"regression on order statistics"
5.25,302,"regression on order statistics"
5.5,302,"regression on order statistics"
5.5,184,"regression on order statistics"
5.75,184,"regression on order statistics"
5.75,231,"regression on order statistics"
6,231,"regression on order statistics"
6,173,"regression on order statistics"
6.25,173,"regression on order statistics"
6.25,125,"regression on order statistics"
6.5,125,"regression on order statistics"
6.5,108,"regression on order statistics"
6.75,108,"regression on order statistics"
6.75,103,"regression on order statistics"
7,103,"regression on order statistics"
7,116,"regression on order statistics"
7.25,116,"regression on order statistics"
7.25,88,"regression on order statistics"
7.5,88,"regression on order statistics"
7.5,70,"regression on order statistics"
7.75,70,"regression on order statistics"
7.75,66,"regression on order statistics"
8,66,"regression on order statistics"
8,88,"regression on order statistics"
8.25,88,"regression on order statistics"
8.25,80,"regression on order statistics"
8.5,80,"regression on order statistics"
8.5,65,"regression on order statistics"
8.75,65,"regression on order statistics"
8.75,62,"regression on order statistics"
9,62,"regression on order statistics"
9,61,"regression on order statistics"
9.25,61,"regression on order statistics"
9.25,60,"regression on order statistics"
9.5,60,"regression on order statistics"
9.5,68,"regression on order statistics"
9.75,68,"regression on order statistics"
9.75,40,"regression on order statistics"
10,40,"regression on order statistics"
10,33,"regression on order statistics"
10.25,33,"regression on order statistics"
10.25,24,"regression on order statistics"
10.5,24,"regression on order statistics"
10.5,9,"regression on order statistics"
10.75,9,"regression on order statistics"
10.75,7,"regression on order statistics"
11,7,"regression on order statistics"
11,4,"regression on order statistics"
11.25,4,"regression on order statistics"
11.25,1,"regression on order statistics"
11.5,1,"regression on order statistics"
11.5,0,"regression on order statistics"
11.75,0,"regression on order statistics"
11.75,1,"regression on order statistics"
12,1,"regression on order statistics"
12,0,"regression on order statistics"
0,0,"constant"
0,24684,"constant"
0.25,24684,"constant"
0.25,0,"constant"
0.5,0,"constant"
0.5,0,"constant"
0.75,0,"constant"
0.75,0,"constant"
1,0,"constant"
1,0,"constant"
1.25,0,"constant"
1.25,0,"constant"
1.5,0,"constant"
1.5,0,"constant"
1.75,0,"constant"
1.75,0,"constant"
2,0,"constant"
2,0,"constant"
2.25,0,"constant"
2.25,0,"constant"
2.5,0,"constant"
2.5,0,"constant"
2.75,0,"constant"
2.75,0,"constant"
3,0,"constant"
3,0,"constant"
3.25,0,"constant"
3.25,0,"constant"
3.5,0,"constant"
3.5,0,"constant"
3.75,0,"constant"
3.75,0,"constant"
4,0,"constant"
4,0,"constant"
4.25,0,"constant"
4.25,0,"constant"
4.5,0,"constant"
4.5,19,"constant"
4.75,19,"constant"
4.75,121,"constant"
5,121,"constant"
5,124,"constant"
5.25,124,"constant"
5.25,127,"constant"
5.5,127,"constant"
5.5,184,"constant"
5.75,184,"constant"
5.75,231,"constant"
6,231,"constant"
6,173,"constant"
6.25,173,"constant"
6.25,125,"constant"
6.5,125,"constant"
6.5,108,"constant"
6.75,108,"constant"
6.75,103,"constant"
7,103,"constant"
7,116,"constant"
7.25,116,"constant"
7.25,88,"constant"
7.5,88,"constant"
7.5,70,"constant"
7.75,70,"constant"
7.75,66,"constant"
8,66,"constant"
8,88,"constant"
8.25,88,"constant"
8.25,80,"constant"
8.5,80,"constant"
8.5,65,"constant"
8.75,65,"constant"
8.75,62,"constant"
9,62,"constant"
9,61,"constant"
9.25,61,"constant"
9.25,60,"constant"
9.5,60,"constant"
9.5,68,"constant"
9.75,68,"constant"
9.75,40,"constant"
10,40,"constant"
10,33,"constant"
10.25,33,"constant"
10.25,24,"constant"
10.5,24,"constant"
10.5,9,"constant"
10.75,9,"constant"
10.75,7,"constant"
11,7,"constant"
11,4,"constant"
11.25,4,"constant"
11.25,1,"constant"
11.5,1,"constant"
11.5,0,"constant"
11.75,0,"constant"
11.75,1,"constant"
12,1,"constant"
12,0,"constant"
