"x","y","substitution"
-2,0,"regression on order statistics"
-2,0,"regression on order statistics"
-1.75,0,"regression on order statistics"
-1.75,0,"regression on order statistics"
-1.5,0,"regression on order statistics"
-1.5,0,"regression on order statistics"
-1.25,0,"regression on order statistics"
-1.25,0,"regression on order statistics"
-1,0,"regression on order statistics"
-1,0,"regression on order statistics"
-0.75,0,"regression on order statistics"
-0.75,0,"regression on order statistics"
-0.5,0,"regression on order statistics"
-0.5,0,"regression on order statistics"
-0.25,0,"regression on order statistics"
-0.25,0,"regression on order statistics"
0,0,"regression on order statistics"
0,3,"regression on order statistics"
0.25,3,"regression on order statistics"
0.25,8,"regression on order statistics"
0.5,8,"regression on order statistics"
0.5,32,"regression on order statistics"
0.75,32,"regression on order statistics"
0.75,79,"regression on order statistics"
1,79,"regression on order statistics"
1,146,"regression on order statistics"
1.25,146,"regression on order statistics"
1.25,142,"regression on order statistics"
1.5,142,"regression on order statistics"
1.5,65,"regression on order statistics"
1.75,65,"regression on order statistics"
1.75,93,"regression on order statistics"
2,93,"regression on order statistics"
2,103,"regression on order statistics"
2.25,103,"regression on order statistics"
2.25,114,"regression on order statistics"
2.5,114,"regression on order statistics"
2.5,112,"regression on order statistics"
2.75,112,"regression on order statistics"
2.75,105,"regression on order statistics"
3,105,"regression on order statistics"
3,106,"regression on order statistics"
3.25,106,"regression on order statistics"
3.25,98,"regression on order statistics"
3.5,98,"regression on order statistics"
3.5,89,"regression on order statistics"
3.75,89,"regression on order statistics"
3.75,56,"regression on order statistics"
4,56,"regression on order statistics"
4,69,"regression on order statistics"
4.25,69,"regression on order statistics"
4.25,51,"regression on order statistics"
4.5,51,"regression on order statistics"
4.5,45,"regression on order statistics"
4.75,45,"regression on order statistics"
4.75,66,"regression on order statistics"
5,66,"regression on order statistics"
5,46,"regression on order statistics"
5.25,46,"regression on order statistics"
5.25,28,"regression on order statistics"
5.5,28,"regression on order statistics"
5.5,21,"regression on order statistics"
5.75,21,"regression on order statistics"
5.75,9,"regression on order statistics"
6,9,"regression on order statistics"
6,7,"regression on order statistics"
6.25,7,"regression on order statistics"
6.25,5,"regression on order statistics"
6.5,5,"regression on order statistics"
6.5,2,"regression on order statistics"
6.75,2,"regression on order statistics"
6.75,2,"regression on order statistics"
7,2,"regression on order statistics"
7,1,"regression on order statistics"
7.25,1,"regression on order statistics"
7.25,4,"regression on order statistics"
7.5,4,"regression on order statistics"
7.5,0,"regression on order statistics"
7.75,0,"regression on order statistics"
7.75,1,"regression on order statistics"
8,1,"regression on order statistics"
8,0,"regression on order statistics"
8.25,0,"regression on order statistics"
8.25,1,"regression on order statistics"
8.5,1,"regression on order statistics"
8.5,1,"regression on order statistics"
8.75,1,"regression on order statistics"
8.75,0,"regression on order statistics"
-2,0,"constant"
-2,2,"constant"
-1.75,2,"constant"
-1.75,0,"constant"
-1.5,0,"constant"
-1.5,0,"constant"
-1.25,0,"constant"
-1.25,0,"constant"
-1,0,"constant"
-1,2,"constant"
-0.75,2,"constant"
-0.75,3,"constant"
-0.5,3,"constant"
-0.5,1,"constant"
-0.25,1,"constant"
-0.25,294,"constant"
0,294,"constant"
0,3,"constant"
0.25,3,"constant"
0.25,5,"constant"
0.5,5,"constant"
0.5,7,"constant"
0.75,7,"constant"
0.75,17,"constant"
1,17,"constant"
1,35,"constant"
1.25,35,"constant"
1.25,41,"constant"
1.5,41,"constant"
1.5,65,"constant"
1.75,65,"constant"
1.75,93,"constant"
2,93,"constant"
2,103,"constant"
2.25,103,"constant"
2.25,114,"constant"
2.5,114,"constant"
2.5,112,"constant"
2.75,112,"constant"
2.75,105,"constant"
3,105,"constant"
3,106,"constant"
3.25,106,"constant"
3.25,98,"constant"
3.5,98,"constant"
3.5,89,"constant"
3.75,89,"constant"
3.75,56,"constant"
4,56,"constant"
4,69,"constant"
4.25,69,"constant"
4.25,51,"constant"
4.5,51,"constant"
4.5,45,"constant"
4.75,45,"constant"
4.75,66,"constant"
5,66,"constant"
5,46,"constant"
5.25,46,"constant"
5.25,28,"constant"
5.5,28,"constant"
5.5,21,"constant"
5.75,21,"constant"
5.75,9,"constant"
6,9,"constant"
6,7,"constant"
6.25,7,"constant"
6.25,5,"constant"
6.5,5,"constant"
6.5,2,"constant"
6.75,2,"constant"
6.75,2,"constant"
7,2,"constant"
7,1,"constant"
7.25,1,"constant"
7.25,4,"constant"
7.5,4,"constant"
7.5,0,"constant"
7.75,0,"constant"
7.75,1,"constant"
8,1,"constant"
8,0,"constant"
8.25,0,"constant"
8.25,1,"constant"
8.5,1,"constant"
8.5,1,"constant"
8.75,1,"constant"
8.75,0,"constant"
